timestamp,symbol,price,size,buyer_role
1781169405185,XRPUSD,1.1169,311,taker
1781169408166,XRPUSD,1.1171,250,maker
1781169412054,XRPUSD,1.1171,280,maker
1781169420027,XRPUSD,1.1173,4,taker
1781169440913,XRPUSD,1.1165,70,maker
1781169441445,XRPUSD,1.1165,78,maker
1781169449213,XRPUSD,1.1167,87,maker
1781169451444,XRPUSD,1.1163,44,maker
1781169452302,XRPUSD,1.1168,250,taker
1781169459909,XRPUSD,1.1169,100,taker
1781169462139,XRPUSD,1.1169,100,taker
1781169483118,XRPUSD,1.1168,138,maker
1781169489498,XRPUSD,1.1168,1498,maker
1781169496432,XRPUSD,1.1171,3,taker
1781169496432,XRPUSD,1.1171,2,taker
1781169507008,XRPUSD,1.1174,13,taker
1781169509914,XRPUSD,1.1174,27,taker
1781169538835,XRPUSD,1.1171,1,maker
1781169542422,XRPUSD,1.1178,9,taker
1781169558847,XRPUSD,1.1174,92,maker
1781169572193,XRPUSD,1.1179,4,taker
1781169581377,XRPUSD,1.1182,48,taker
